(39.94368626526831, 32.627277576231194)
(39.94579197095887, 32.787265979551506)
(39.872844189614405, 32.77868291070385)
(39.81089618828858, 32.65851994683666)
(39.87099973761492, 32.602558337949944)
(39.89708094904486, 32.88408299615307)
(39.82513599356731, 32.88511296441479)
(39.81537940816986, 32.797565662168694)
(39.916569516079555, 32.701435291074944)
(39.98394665296909, 32.921161853574944)
(39.931577199882, 32.94794102837963)
(39.90136891717057, 32.34230852160303)
(40.117000000040576, 33.07015275988428)
(39.80173897027306, 33.17520952257959)
